time,open,high,low,close,volume
2022-03-21 14:45:00,184.23,184.66,183.75,184.52,24642.0
2022-03-21 15:00:00,184.415,184.66,182.89,183.07,29919.0
2022-03-21 15:15:00,182.84,184.3049,182.58,184.03,28945.0
2022-03-21 15:30:00,184.325,184.71,183.61,184.5223,37077.0
2022-03-21 15:45:00,184.645,185.045,183.9,184.16,65565.0
2022-03-21 16:00:00,184.12,185.61,183.06,185.52,179188.0
2022-03-21 16:15:00,185.45,186.0,185.4,186.0,19249.0
2022-03-21 16:45:00,186.0,186.0,185.45,185.45,5594.0
2022-03-21 17:00:00,186.0,186.0,186.0,186.0,509.0
2022-03-21 17:45:00,185.5,186.1,185.5,186.1,900.0
2022-03-21 18:00:00,185.5,185.5,185.5,185.5,151.0
2022-03-21 18:15:00,185.5,185.5,185.5,185.5,100.0
2022-03-21 18:30:00,185.5,185.5,185.5,185.5,120.0
2022-03-22 04:30:00,185.39,185.39,185.39,185.39,400.0
2022-03-22 07:15:00,185.98,185.98,185.97,185.97,335.0
2022-03-22 08:00:00,186.15,186.36,186.15,186.35,1349.0
2022-03-22 08:15:00,185.3,186.35,185.3,186.35,929.0
2022-03-22 08:30:00,186.3,186.3,186.0,186.0,450.0
2022-03-22 09:30:00,186.35,186.9997,185.17,185.17,1796.0
2022-03-22 09:45:00,185.45,190.29,184.31,189.4378,195716.0
2022-03-22 10:00:00,189.41,191.8599,186.55,191.13,137685.0
2022-03-22 10:15:00,191.16,192.575,190.31,192.5,136363.0
2022-03-22 10:30:00,192.475,192.61,191.1,192.0,93629.0
2022-03-22 10:45:00,192.07,193.48,191.5442,192.9425,94854.0
2022-03-22 11:00:00,192.735,194.39,192.39,193.94,105672.0
2022-03-22 11:15:00,193.9431,195.3427,193.2,194.865,117215.0
2022-03-22 11:30:00,194.905,195.5,194.36,195.28,99936.0
2022-03-22 11:45:00,195.33,195.79,194.295,194.44,115469.0
2022-03-22 12:00:00,194.445,195.5,192.23,192.4118,113503.0
2022-03-22 12:15:00,192.25,192.38,190.63,191.295,97187.0
2022-03-22 12:30:00,191.155,191.17,189.06,190.08,63163.0
2022-03-22 12:45:00,189.9,191.11,189.15,190.37,69400.0
2022-03-22 13:00:00,190.6,191.2,189.7,189.7,57501.0
2022-03-22 13:15:00,189.55,190.64,189.55,190.24,49807.0
2022-03-22 13:30:00,190.1,190.36,188.8299,190.28,43136.0
2022-03-22 13:45:00,190.36,191.22,189.79,190.1587,46963.0
2022-03-22 14:00:00,190.11,190.42,189.65,190.35,28441.0
2022-03-22 14:15:00,190.28,190.48,189.812,189.85,39698.0
2022-03-22 14:30:00,189.9507,190.18,188.9935,189.285,39028.0
2022-03-22 14:45:00,189.34,190.36,188.63,189.59,38533.0
2022-03-22 15:00:00,189.685,191.0,189.57,190.48,58501.0
2022-03-22 15:15:00,190.56,190.865,190.31,190.66,33838.0
2022-03-22 15:30:00,190.8098,191.2,189.84,190.07,44468.0
2022-03-22 15:45:00,189.91,190.13,189.35,189.97,57724.0
2022-03-22 16:00:00,189.92,190.69,188.96,189.25,180129.0
2022-03-22 16:15:00,189.25,189.25,189.25,189.25,15632.0
2022-03-22 16:45:00,189.25,189.25,188.6,188.6,15413.0
2022-03-22 17:15:00,188.602,188.75,188.6,188.75,381.0
2022-03-22 17:30:00,188.6001,188.6001,188.6001,188.6001,100.0
2022-03-22 18:00:00,189.18,189.18,189.18,189.18,128.0
2022-03-22 19:00:00,188.75,188.75,188.75,188.75,200.0
2022-03-23 07:15:00,187.79,188.49,187.79,188.49,589.0
2022-03-23 07:30:00,187.7,187.7,187.7,187.7,271.0
2022-03-23 07:45:00,187.5,187.5,187.5,187.5,136.0
2022-03-23 08:00:00,187.25,187.25,187.0,187.0,415.0
2022-03-23 08:15:00,187.5,187.5,187.0,187.0,644.0
2022-03-23 08:30:00,187.25,187.25,187.0,187.0,905.0
2022-03-23 09:00:00,186.07,187.1,185.25,186.0,2651.0
2022-03-23 09:15:00,186.5,186.5,186.5,186.5,198.0
2022-03-23 09:30:00,185.99,186.13,184.81,184.81,3985.0
2022-03-23 09:45:00,184.89,188.66,184.1376,188.25,111710.0
2022-03-23 10:00:00,188.25,189.4099,186.38,188.21,72833.0
2022-03-23 10:15:00,188.0,190.72,187.46,190.44,70389.0
2022-03-23 10:30:00,190.57,192.5,189.75,191.27,81800.0
2022-03-23 10:45:00,191.43,193.255,190.9012,191.94,60743.0
2022-03-23 11:00:00,191.7,194.38,190.8778,194.3685,58463.0
2022-03-23 11:15:00,194.34,195.11,193.9312,194.25,81140.0
2022-03-23 11:30:00,194.17,196.46,194.17,196.26,86328.0
